,Line_Lyrics,NumWords,Normalize_Lyrics
81,is the only reason youre holding me tonight,8,the only reason youre holding tonight
82,cause were scared to be lonely ,6,cause were scared lonely
83,do we need somebody just to feel like were alright ,10,need somebody just feel like were alright
84,is the only reason youre holding me tonight,8,the only reason youre holding tonight
85,cause were scared to be lonely ,6,cause were scared lonely
86,scared to be lonely ooh ooh ooh,7,scared lonely ooh ooh ooh
87,even when we know its wrong,6,even when know its wrong
88,and somebody better for us all along,7,and somebody better for all along
89,tell me how can we keep holding on ,8,tell how can keep holding
90,holding on tonight cause were scared to be lonely,9,holding tonight cause were scared lonely
91,even when we know its wrong,6,even when know its wrong
92,and somebody better for us all along,7,and somebody better for all along
93,tell me how can we keep holding on ,8,tell how can keep holding
94,holding on tonight cause were scared to be lonely,9,holding tonight cause were scared lonely
95,is it just our bodies are we both losing our minds ,11,just our bodies are both losing our minds
96,is the only reason youre holding me tonight,8,the only reason youre holding tonight
97,cause were scared to be lonely ,6,cause were scared lonely
98,scared to be lonely,4,scared lonely
99,scared to be lonely ooh ooh,6,scared lonely ooh ooh
100,eh eh scared to be lonely,6,scared lonely
101,if you dont wanna see me,6,you dont wanna see
102,did a full one eighty crazy,6,did full one eighty crazy
103,thinking bout the way i was,6,thinking bout the way was
104,did the heartbreak change me maybe,6,did the heartbreak change maybe
105,but look at where i ended up,7,but look where ended
106,im all good already,4,all good already
107,so moved on its scary,5,moved its scary
108,im not where you left me at all so,9,not where you left all
109,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
110,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
111,dont show up dont come out,6,dont show dont come out
112,dont start caring about me now,6,dont start caring about now
113,walk away you know how,5,walk away you know how
114,dont start caring about me now,6,dont start caring about now
115,arent you the guy who tried to,7,arent you the guy who tried
116,hurt me with the word goodbye ,6,hurt with the word goodbye
117,though it took some time to survive you,8,though took some time survive you
118,im better on the other side,6,better the other side
119,im all good already,4,all good already
120,so moved on its scary,5,moved its scary
121,im not where you left me at all so,9,not where you left all
122,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
123,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
124,dont show up dont come out,6,dont show dont come out
125,dont start caring about me now,6,dont start caring about now
126,walk away you know how,5,walk away you know how
127,dont start caring about me now ,6,dont start caring about now
128,up up,2,
129,dont come out out out,5,dont come out out out
130,dont show up up up,5,dont show
131,dont start now ,3,dont start now
132,up up,2,
133,dont come out out,4,dont come out out
134,im not where you left me at all so,9,not where you left all
135,if you dont wanna see me dancing with somebody,9,you dont wanna see dancing with somebody
136,if you wanna believe that anything could stop me,9,you wanna believe that anything could stop
137,dont show up dont come out ,6,dont show dont come out
138,dont start caring about me now ,6,dont start caring about now
139,walk away you know how ,5,walk away you know how
140,dont start caring about me now ,6,dont start caring about now
141,up up,2,
142,dont come out out out,5,dont come out out out
143,dont show up up up,5,dont show
144,walk away walk away ,4,walk away walk away
145,up up,2,
146,dont come out out out,5,dont come out out out
147,dont show up up up,5,dont show
148,walk away walk away oh,5,walk away walk away
149,you call me all friendly,5,you call all friendly
150,tellin me how much you miss me,7,tellin how much you miss
151,thats funny i guess youve heard my songs,8,thats funny guess youve heard songs
152,well im too busy for your business,7,well too busy for your business
153,go find a girl who wants to listen,8,find girl who wants listen
154,cause if you think i was born yesterday you have got me wrong,13,cause you think was born yesterday you have got wrong
155,so i cut you off,5,cut you off
156,i dont need your love,5,dont need your love
157,cause i already cried enough,5,cause already cried enough
158,ive been done,3,ive been done
159,ive been movin on since we said goodbye,8,ive been movin since said goodbye
160,i cut you off,4,cut you off
161,i dont need your love,5,dont need your love
162,so you can try all you want,7,you can try all you want
163,your time is up ill tell you why,8,your time ill tell you why
164,you say youre sorry but its too late now,9,you say youre sorry but its too late now
165,so save it get gone shut up,7,save get gone shut
166,cause if you think i care about you now,9,cause you think care about you now
167,well boy i dont give a fuck,7,well boy dont give fuck
168,i remember that weekend,4,remember that weekend
169,when my best friend caught you creepin,7,when best friend caught you creepin
170,you blamed it all on the alcohol,7,you blamed all the alcohol
171,so i made my decision,5,made decision
172,cause you made your bed sleep in it,8,cause you made your bed sleep
173,play the victim and switch your position,7,play the victim and switch your position
174,im through im done,4,through done
175,so i cut you off,5,cut you off
176,i dont need your love,5,dont need your love
177,cause i already cried enough,5,cause already cried enough
178,ive been done,3,ive been done
179,ive been movin on since we said goodbye,8,ive been movin since said goodbye
180,i cut you off,4,cut you off
181,i dont need your love,5,dont need your love
182,so you can try all you want,7,you can try all you want
183,your time is up ill tell you why,8,your time ill tell you why
184,you say youre sorry but its too late now,9,you say youre sorry but its too late now
185,so save it get gone shut up,7,save get gone shut
186,cause if you think i care about you now,9,cause you think care about you now
187,well boy i dont give a fuck,7,well boy dont give fuck
188,i see you tryna get to me,7,see you tryna get
189,i see you beggin on your knees,7,see you beggin your knees
190,boy i dont give a fuck,6,boy dont give fuck
191,so stop tryna get to me,6,stop tryna get
192,tch get up off your knees,6,tch get off your knees
193,cause boy i dont give a fuck,7,cause boy dont give fuck
194,about you,2,about you
195,no i dont give a damn,6,dont give damn
196,you keep reminiscin on when you were my man,9,you keep reminiscin when you were man
197,but im over you,4,but over you
198,now youre all in the past,6,now youre all the past
199,you talk all that sweet talk but i aint comin back,11,you talk all that sweet talk but aint comin back
200,cut you off,3,cut you off
201,i dont need your love,5,dont need your love
202,so you can try all you want,7,you can try all you want
203,your time is up ill tell you why,8,your time ill tell you why
204,ill tell you why,4,ill tell you why
205,you say youre sorry but its too late now,9,you say youre sorry but its too late now
206,so save it get gone shut up,7,save get gone shut
207,cause if you think i care about you now,9,cause you think care about you now
208,well boy i dont give a fuck,7,well boy dont give fuck
209,i see you tryna get to me,7,see you tryna get
210,i see you beggin on your knees,7,see you beggin your knees
211,boy i dont give a fuck,6,boy dont give fuck
212,so stop tryna get to me ,6,stop tryna get
213,tch get up off your knees,6,tch get off your knees
214,cause boy i dont give a fuck,7,cause boy dont give fuck
215,one kiss is all it takes,6,one kiss all takes
216,fallin in love with me,5,fallin love with
217,possibilities,1,possibilities
218,i look like all you need,6,look like all you need
219,let me take the night i love real easy,9,let take the night love real easy
220,and i know that youll still wanna see me,9,and know that youll still wanna see
221,on the sunday morning music real loud,7,the sunday morning music real loud
222,let me love you while the moon is still out,10,let love you while the moon still out
223,something in you ou ou lit up heaven in me e e,12,something you lit heaven
224,the feeling wont let me slee ee eep,8,the feeling wont let slee eep
225,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
226,one kiss is all it takes,6,one kiss all takes
227,fallin in love with me,5,fallin love with
228,possibilities,1,possibilities
229,i look like all you need,6,look like all you need
230,one kiss is all it takes,6,one kiss all takes
231,fallin in love with me,5,fallin love with
232,possibilities,1,possibilities
233,i look like all you need,6,look like all you need
234,one,1,one
235,one,1,one
236,one,1,one
237,one,1,one
238,i just wanna feel your skin on mine,8,just wanna feel your skin mine
239,feel your eyes do the exploring,6,feel your eyes the exploring
240,passion in the message when you smile,7,passion the message when you smile
241,take my time,3,take time
242,something in you ou ou lit up heaven in me e e,12,something you lit heaven
243,the feeling wont let me slee ee eep,8,the feeling wont let slee eep
244,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
245,one kiss is all it takes,6,one kiss all takes
246,fallin in love with me,5,fallin love with
247,possibilities,1,possibilities
248,i look like all you need,6,look like all you need
249,one kiss is all it takes,6,one kiss all takes
250,fallin in love with me,5,fallin love with
251,possibilities,1,possibilities
252,i look like all you need,6,look like all you need
253,one,1,one
254,one,1,one
255,one,1,one
256,one,1,one
257,see a wonderland in your eyes,6,see wonderland your eyes
258,might need your company tonight,5,might need your company tonight
259,something in you ou ou lit up heaven in me e e,12,something you lit heaven
260,the feeling wont let me slee ee eep,8,the feeling wont let slee eep
261,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
262,one kiss is all it takes,6,one kiss all takes
263,fallin in love with me,5,fallin love with
264,possibilities,1,possibilities
265,i look like all you need,6,look like all you need
266,one kiss is all it takes,6,one kiss all takes
267,fallin in love with me,5,fallin love with
268,possibilities,1,possibilities
269,i look like all you need,6,look like all you need
270,one,1,one
271,one,1,one
272,one,1,one
273,one,1,one
274,if you wanna run away with me i know a galaxy,11,you wanna run away with know galaxy
275,and i can take you for a ride,8,and can take you for ride
276,i had a premonition that we fell into a rhythm,10,had premonition that fell into rhythm
277,where the music dont stop for life,7,where the music dont stop for life
278,glitter in the sky glitter in my eyes,8,glitter the sky glitter eyes
279,shining just the way i like,6,shining just the way like
280,if youre feeling like you need a little bit of company,11,youre feeling like you need little bit company
281,you met me at the perfect time,7,you met the perfect time
282,you want me i want you baby,7,you want want you baby
283,my sugarboo im levitating,4,sugarboo levitating
284,the milky way were renegading,5,the milky way were renegading
285,yeah yeah yeah yeah yeah,5,yeah yeah yeah yeah yeah
286,i got you moonlight youre my starlight,7,got you moonlight youre starlight
287,i need you all night come on dance with me,10,need you all night come dance with
288,im levitating,2,levitating
289,you moonlight youre my starlight ,5,you moonlight youre starlight
290,i need you all night come on dance with me,10,need you all night come dance with
291,im levitating,2,levitating
292,i believe that youre for me i feel it in our energy,12,believe that youre for feel our energy
293,i see us written in the stars,7,see written the stars
294,we can go wherever so lets do it now or never,11,can wherever lets now never
295,baby nothings ever ever too far,6,baby nothings ever ever too far
296,glitter in the sky glitter in our eyes,8,glitter the sky glitter our eyes
297,shining just the way we are,6,shining just the way are
298,i feel like were forever every time we get together,10,feel like were forever every time get together
299,but whatever lets get lost on mars,7,but whatever lets get lost mars
300,you want me i want you baby,7,you want want you baby
301,my sugarboo im levitating,4,sugarboo levitating
302,the milky way were renegading,5,the milky way were renegading
303,yeah yeah yeah yeah yeah,5,yeah yeah yeah yeah yeah
304,i got you moonlight youre my starlight,7,got you moonlight youre starlight
305,i need you all night come on dance with me,10,need you all night come dance with
306,im levitating,2,levitating
307,you moonlight youre my starlight ,5,you moonlight youre starlight
308,i need you all night come on dance with me,10,need you all night come dance with
309,im levitating,2,levitating
310,you can fly away with me tonight,7,you can fly away with tonight
311,you can fly away with me tonight,7,you can fly away with tonight
312,baby let me take you for a ride,8,baby let take you for ride
313,yeah yeah yeah yeah yeah,5,yeah yeah yeah yeah yeah
314,im levitating ,2,levitating
315,you can fly away with me tonight,7,you can fly away with tonight
316,you can fly away with me tonight,7,you can fly away with tonight
317,baby let me take you for a ride,8,baby let take you for ride
318,yeah yeah yeah yeah yeah ,5,yeah yeah yeah yeah yeah
319,my love is like a rocket watch it blast off,10,love like rocket watch blast off
320,and im feeling so electric dance my ass off,9,and feeling electric dance ass off
321,and even if i wanted to i cant stop,9,and even wanted cant stop
322,yeah yeah yeah yeah yeah,5,yeah yeah yeah yeah yeah
323,my love is like a rocket watch it blast off,10,love like rocket watch blast off
324,and im feeling so electric dance my ass off,9,and feeling electric dance ass off
325,and even if i wanted to i cant stop,9,and even wanted cant stop
326,yeah yeah yeah yeah yeah,5,yeah yeah yeah yeah yeah
327,you want me i want you baby,7,you want want you baby
328,my sugarboo im levitating,4,sugarboo levitating
329,the milky way were renegading,5,the milky way were renegading
330,i got you moonlight youre my starlight,7,got you moonlight youre starlight
331,i need you all night come on dance with me,10,need you all night come dance with
332,im levitating ,2,levitating
333,you can fly away with me tonight ,7,you can fly away with tonight
334,you can fly away with me tonight,7,you can fly away with tonight
335,baby let me take you for a ride,8,baby let take you for ride
336,yeah yeah yeah yeah yeah ,5,yeah yeah yeah yeah yeah
337,im levitating ,2,levitating
338,you can fly away with me tonight ,7,you can fly away with tonight
339,you can fly away with me tonight,7,you can fly away with tonight
340,baby let me take you for a ride,8,baby let take you for ride
341,yeah yeah yeah yeah yeah ,5,yeah yeah yeah yeah yeah
342,i got you moonlight youre my starlight ,7,got you moonlight youre starlight
343,i need you all night come on dance with me ,10,need you all night come dance with
344,im levitating,2,levitating
345,you moonlight youre my starlight ,5,you moonlight youre starlight
346,i need you all night come on dance with me,10,need you all night come dance with
347,im levitating,2,levitating
348,i know its hot,4,know its hot
349,i know weve got,4,know weve got
350,something that money cant buy,5,something that money cant buy
351,fighting in fits,3,fighting fits
352,biting your lip,3,biting your lip
353,loving til late in the night,6,loving til late the night
354,tell me im too crazy,5,tell too crazy
355,you cant tame me cant tame me,7,you cant tame cant tame
356,tell me i have changed,5,tell have changed
357,but im the same me old same me,8,but the same old same
358,inside,1,inside
359,hey ,1,hey
360,if you dont like the way i talk then why am i on your mind ,15,you dont like the way talk then why your mind
361,if you dont like the way i rock then finish your glass of wine,14,you dont like the way rock then finish your glass wine
362,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
363,if we dont fuck this whole thing up,8,dont fuck this whole thing
364,guaranteed i can blow your mind,6,guaranteed can blow your mind
365,mwah ,1,mwah
366,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
367,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
368,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
369,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
370,yeah im so bad,4,yeah bad
371,best that youve had,4,best that youve had
372,i guess youre diggin the show,6,guess youre diggin the show
373,open the door,3,open the door
374,you want some more,4,you want some more
375,when you wanna leave let me know,7,when you wanna leave let know
376,tell me im too crazy,5,tell too crazy
377,you cant tame me cant tame me,7,you cant tame cant tame
378,tell me i have changed,5,tell have changed
379,but im the same me old same me,8,but the same old same
380,inside,1,inside
381,hey ,1,hey
382,if you dont like the way i talk then why am i on your mind ,15,you dont like the way talk then why your mind
383,if you dont like the way i rock then finish your glass of wine,14,you dont like the way rock then finish your glass wine
384,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
385,if we dont fuck this whole thing up,8,dont fuck this whole thing
386,guaranteed i can blow your mind,6,guaranteed can blow your mind
387,mwah ,1,mwah
388,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
389,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
390,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
391,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
392,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
393,guaranteed i can blow your mind mwah hey ,8,guaranteed can blow your mind mwah hey
394,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
395,guaranteed i can blow your mind hey ,7,guaranteed can blow your mind hey
396,tell me im too crazy,5,tell too crazy
397,you cant tame me cant tame me,7,you cant tame cant tame
398,tell me i have changed,5,tell have changed
399,but im the same me old same me,8,but the same old same
400,inside,1,inside
401,hey ,1,hey
402,mwah ,1,mwah
403,if you dont like the way i talk then why am i on your mind ,15,you dont like the way talk then why your mind
404,if you dont like the way i rock then finish your glass of wine,14,you dont like the way rock then finish your glass wine
405,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
406,if we dont fuck this whole thing up,8,dont fuck this whole thing
407,guaranteed i can blow your mind,6,guaranteed can blow your mind
408,mwah ,1,mwah
409,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
410,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
411,and tonight im alive aint no dollar sign,8,and tonight alive aint dollar sign
412,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
413,ive always been the one to say the first goodbye,10,ive always been the one say the first goodbye
414,had to love and lose a hundred million times,9,had love and lose hundred million times
415,had to get it wrong to know just what i like,11,had get wrong know just what like
416,now im falling,3,now falling
417,you say my name like i have never heard before,10,you say name like have never heard before
418,im indecisive but this time i know for sure,9,indecisive but this time know for sure
419,i hope im not the only one that feels it all,11,hope not the only one that feels all
420,are you falling ,3,are you falling
421,centre of attention,3,centre attention
422,you know you can get whatever you want from me,10,you know you can get whatever you want from
423,whenever you want it baby,5,whenever you want baby
424,its you in my reflection,5,its you reflection
425,im afraid of all the things it could do to me,11,afraid all the things could
426,if i wouldve known it baby,6,wouldve known baby
427,i wouldve stayed at home,5,wouldve stayed home
428,cause i was doing better alone,6,cause was doing better alone
429,but when you said hello,5,but when you said hello
430,i knew that was the end of it all,9,knew that was the end all
431,i shouldve stayed at home,5,shouldve stayed home
432,cause now there aint no letting you go,8,cause now there aint letting you
433,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
434,oh no i was doing better alone,7,was doing better alone
435,but when you said hello,5,but when you said hello
436,i knew that was the end of it all,9,knew that was the end all
437,i shouldve stayed at home,5,shouldve stayed home
438,cause now there aint no letting you go,8,cause now there aint letting you
439,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
440,i wonder when you go if i stay on your mind,11,wonder when you stay your mind
441,two can play that game but you win me every time,11,two can play that game but you win every time
442,everyone before you was a waste of time,8,everyone before you was waste time
443,yeah you got me,4,yeah you got
444,centre of attention,3,centre attention
445,you know you can get whatever you want from me,10,you know you can get whatever you want from
446,whenever you want it baby,5,whenever you want baby
447,its you in my reflection,5,its you reflection
448,im afraid of all the things it could do to me,11,afraid all the things could
449,if i wouldve known it baby,6,wouldve known baby
450,i wouldve stayed at home,5,wouldve stayed home
451,cause i was doing better alone,6,cause was doing better alone
452,but when you said hello,5,but when you said hello
453,i knew that was the end of it all,9,knew that was the end all
454,i shouldve stayed at home ,5,shouldve stayed home
455,cause now there aint no letting you go,8,cause now there aint letting you
456,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
457,oh no i was doing better alone,7,was doing better alone
458,but when you said hello,5,but when you said hello
459,i knew that was the end of it all,9,knew that was the end all
460,i shouldve stayed at home,5,shouldve stayed home
461,cause now there aint no letting you go,8,cause now there aint letting you
462,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
463,ooh break my heart,4,ooh break heart
464,ooh break my heart,4,ooh break heart
465,ooh,1,ooh
466,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
467,i wouldve stayed at home,5,wouldve stayed home
468,cause i was doing better alone,6,cause was doing better alone
469,but when you said hello,5,but when you said hello
470,i knew that was the end of it all,9,knew that was the end all
471,i shouldve stayed at home ,5,shouldve stayed home
472,cause now there aint no letting you go,8,cause now there aint letting you
473,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
474,oh no i was doing better alone,7,was doing better alone
475,but when you said hello,5,but when you said hello
476,i knew that was the end of it all,9,knew that was the end all
477,i shouldve stayed at home,5,shouldve stayed home
478,cause now there aint no letting you go,8,cause now there aint letting you
479,am i falling in love with the one that could break my heart ,13,falling love with the one that could break heart
480,we havent talked all morning,5,havent talked all morning
481,bang my head bang my head against the wall,9,bang head bang head against the wall
482,im scared im falling,4,scared falling
483,losing all losing all my control,6,losing all losing all control
484,and im tired of talking,5,and tired talking
485,feel myself saying the same old things,7,feel myself saying the same old things
486,but this loves important,4,but this loves important
487,dont wanna lose dont wanna lose you this way,9,dont wanna lose dont wanna lose you this way
488,i i i i i i i i i i,10,
489,feel like we about to break up,7,feel like about break
490,i i i i i i i i i i,10,
491,just wanna kiss and make up one last time,9,just wanna kiss and make one last time
492,touch me like you touch nobody,6,touch like you touch nobody
493,put your hands all up on me,7,put your hands all
494,tired of hearing sorry,4,tired hearing sorry
495,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
496,how about we leave this party ,6,how about leave this party
497,cause all i want is you up on me,9,cause all want you
498,tired of hearing sorry,4,tired hearing sorry
499,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
500,kiss kiss and make up,5,kiss kiss and make
501,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
502,kiss kiss and make up,5,kiss kiss and make
503,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
504,아직 너를,2,
505,못 떠나고 뭘 하고 있는 건지,6,
506,언젠가는 다 끝날 걸,4,
507,떠날 걸 알지만,3,
508,고장 난 우릴,3,
509,다시 고쳐 볼 수는 없을지,5,
510,아무런 말도 넌 하지 마,5,
511,마지막은 없어,2,
512,i i i i i i i i i i,10,
513,feel like we about to break up,7,feel like about break
514,i i i i i i i i i i,10,
515,just wanna kiss and make up one last time,9,just wanna kiss and make one last time
516,touch me like you touch nobody,6,touch like you touch nobody
517,put your hands all up on me,7,put your hands all
518,tired of hearing sorry,4,tired hearing sorry
519,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
520,how about we leave this party ,6,how about leave this party
521,cause all i want is you up on me,9,cause all want you
522,tired of hearing sorry,4,tired hearing sorry
523,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
524,kiss kiss and make up,5,kiss kiss and make
525,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
526,kiss kiss and make up,5,kiss kiss and make
527,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
528,그게 뭐가 되었건 다 필요 없어 너면 됐어,8,
529,so tell me can we work this whole thing out ,10,tell can work this whole thing out
530,work this whole thing out,5,work this whole thing out
531,날 첨 만났던 설레던 순간 그때처럼,6,
532,so tell me can we work this whole thing out ,10,tell can work this whole thing out
533,work this whole thing out,5,work this whole thing out
534,kiss kiss and make up,5,kiss kiss and make
535,touch me like you touch nobody,6,touch like you touch nobody
536,put your hands all up on me,7,put your hands all
537,tired of hearing sorry,4,tired hearing sorry
538,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
539,how about we leave this party ,6,how about leave this party
540,cause all i want is you up on me,9,cause all want you
541,tired of hearing sorry,4,tired hearing sorry
542,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
543,kiss kiss and make up,5,kiss kiss and make
544,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
545,kiss kiss and make up,5,kiss kiss and make
546,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
547,kiss kiss and make up,5,kiss kiss and make
548,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
549,kiss kiss and make up,5,kiss kiss and make
550,kiss and make kiss kiss and make up,8,kiss and make kiss kiss and make
551,i see the moon i see the moon i see the moon,12,see the moon see the moon see the moon
552,oh when youre looking at the sun,7,when youre looking the sun
553,im not a fool im not a fool not a fool,11,not fool not fool not fool
554,no youre not fooling anyone,5,youre not fooling anyone
555,oh but when youre gone,5,but when youre gone
556,when youre gone when youre gone,6,when youre gone when youre gone
557,oh baby all the lights go out,7,baby all the lights out
558,thinking oh that baby i was wrong,7,thinking that baby was wrong
559,i was wrong i was wrong,6,was wrong was wrong
560,come back to me baby we can work this out,10,come back baby can work this out
561,oh baby come on let me get to know you,10,baby come let get know you
562,just another chance so that i can show,8,just another chance that can show
563,that i wont let you down and run,8,that wont let you down and run
564,no i wont let you down and run,8,wont let you down and run
565,cause i could be the one,6,cause could the one
566,i could be the one,5,could the one
567,i could be the one,5,could the one
568,i could be the one,5,could the one
569,i see in blue i see in blue i see in blue,12,see blue see blue see blue
570,oh when you see everything in red,7,when you see everything red
571,there is nothing that i wouldnt do for you,9,there nothing that wouldnt for you
572,do for you do for you,6,for you for you
573,oh cause you got inside my head,7,cause you got inside head
574,oh but when youre gone,5,but when youre gone
575,when youre gone when youre gone,6,when youre gone when youre gone
576,oh baby all the lights go out,7,baby all the lights out
577,thinking oh that baby i was wrong,7,thinking that baby was wrong
578,i was wrong i was wrong,6,was wrong was wrong
579,come back to me baby we can work this out,10,come back baby can work this out
580,oh baby come on let me get to know you,10,baby come let get know you
581,just another chance so that i can show,8,just another chance that can show
582,that i wont let you down and run,8,that wont let you down and run
583,no i wont let you down and run,8,wont let you down and run
584,cause i could be the one,6,cause could the one
585,i could be the one,5,could the one
586,i could be the one,5,could the one
587,be the one be the one be the one,9,the one the one the one
588,be the one be the one be the one,9,the one the one the one
589,i could be the one,5,could the one
